task,metric,value,stderr
AIME24,pass@k_with_k,0.06666666666666667,0.046320555585310084
AIME25,pass@k_with_k&n,0.03333333333333333,0.03333333333333331
MATH_500,pass@k_with_k&n,0.67,0.021049612166134806
GPQA:diamond,gpqa_pass@k_with_k,0.2676767676767677,0.03154449888270285
LCB:codegeneration,codegen_pass@1:16,0.07462686567164178,0.016082383479937342
